Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
07-Sep-21,17401.55,17436.5,17287,17362.1,243417811,19848.94
08-Sep-21,17375.75,17383.4,17254.2,17353.5,252652423,22696.35
09-Sep-21,17312.85,17379.65,17302.7,17369.25,241509352,17719.78
13-Sep-21,17363.55,17378.35,17269.15,17355.3,241053924,18498.63
14-Sep-21,17420.35,17438.55,17367.05,17380,230354386,18702.82
15-Sep-21,17387.65,17532.7,17386.9,17519.45,388191629,24256.8
16-Sep-21,17539.2,17644.6,17510.45,17629.5,503310763,30189.77
17-Sep-21,17709.65,17792.95,17537.65,17585.15,508285916,43345.58
20-Sep-21,17443.85,17622.75,17361.8,17396.9,339102046,25304.27
21-Sep-21,17450.5,17578.35,17326.1,17562,363578479,26520.99
22-Sep-21,17580.9,17610.45,17524,17546.65,295191136,21772.23
23-Sep-21,17670.85,17843.9,17646.55,17822.95,320514486,25005.36
24-Sep-21,17897.45,17947.65,17819.4,17853.2,360130853,30787.59
27-Sep-21,17932.2,17943.5,17802.9,17855.1,295714657,24244.98
28-Sep-21,17906.45,17912.85,17576.1,17748.6,397997281,27055.36
29-Sep-21,17657.95,17781.75,17608.15,17711.3,562237732,30621.28
30-Sep-21,17718.9,17742.15,17585.35,17618.15,378592721,27167.19
01-Oct-21,17531.9,17557.15,17452.9,17532.05,305763919,20911.61
04-Oct-21,17615.55,17750.9,17581.35,17691.25,295761839,21343.51
05-Oct-21,17661.35,17833.45,17640.9,17822.3,427000191,23066.8
06-Oct-21,17861.5,17884.6,17613.15,17646,395833550,24504.3
07-Oct-21,17810.55,17857.55,17763.8,17790.35,419890959,27371.98
08-Oct-21,17886.85,17941.85,17840.35,17895.2,324066351,22778.68
11-Oct-21,17867.55,18041.95,17839.1,17945.95,375756457,29000.2
12-Oct-21,17915.8,18008.65,17864.95,17991.95,355568313,26491.42
13-Oct-21,18097.85,18197.8,18050.75,18161.75,506679748,34503
14-Oct-21,18272.85,18350.75,18248.7,18338.55,538714440,38903.16
18-Oct-21,18500.1,18543.15,18445.3,18477.05,469883515,36800.84
19-Oct-21,18602.35,18604.45,18377.7,18418.75,368230309,30505.86
20-Oct-21,18439.9,18458.3,18209.35,18266.6,371276478,28968.42
21-Oct-21,18382.7,18384.2,18048,18178.1,365902008,30839.79
22-Oct-21,18230.7,18314.25,18034.35,18114.9,324748084,26938.88
25-Oct-21,18229.5,18241.4,17968.5,18125.4,418703647,34572.34
26-Oct-21,18154.5,18310.45,18099.3,18268.4,341377869,29764.61
27-Oct-21,18295.85,18342.05,18167.9,18210.95,335248487,30823.75
28-Oct-21,18187.65,18190.7,17799.45,17857.25,374205784,30222.34
29-Oct-21,17833.05,17915.85,17613.1,17671.65,336466864,28136
01-Nov-21,17783.15,17954.1,17697.1,17929.65,-,-
02-Nov-21,17970.9,18012.25,17847.6,17888.95,296441997,23371.51
03-Nov-21,17947.95,17988.75,17757.95,17829.2,330995982,26186.85
04-Nov-21,17935.05,17947.55,17900.6,17916.8,48520856,3637.06
08-Nov-21,18040.2,18087.8,17836.1,18068.55,338919483,30908.23
09-Nov-21,18084.35,18112.6,17983.05,18044.25,270197527,23686.09
10-Nov-21,17973.45,18061.25,17915,18017.2,261446523,22281.11
11-Nov-21,17967.45,17971.35,17798.2,17873.6,232121151,20074.78
12-Nov-21,17977.6,18123,17905.9,18102.75,249111898,22164.33
15-Nov-21,18140.95,18210.15,18071.3,18109.45,280428633,19099.6
16-Nov-21,18127.05,18132.65,17958.8,17999.2,267431829,24101.67
17-Nov-21,17939.35,18022.65,17879.25,17898.65,295715938,22950.84
18-Nov-21,17890.55,17945.6,17688.5,17764.8,278425148,22625.36
22-Nov-21,17796.25,17805.25,17280.45,17416.55,356400425,29570.57
23-Nov-21,17281.75,17553.7,17216.1,17503.35,308843255,26240.41
24-Nov-21,17550.05,17600.6,17354,17415.05,298052158,23766.93
25-Nov-21,17417.3,17564.35,17351.7,17536.25,255947032,21953.33
26-Nov-21,17338.75,17355.4,16985.7,17026.45,356330009,28485.53
29-Nov-21,17055.8,17160.7,16782.4,17053.95,348888750,27428.2
30-Nov-21,17051.15,17324.65,16931.4,16983.2,497999836,41494.9
